"sim_40_1","40","1","0.729848798341072","1.67111928527139","106.858598229591","83.5909876804859"
"sim_41_1","41","1","1.59906768428669","3.46980496516187","86.8280759006172","58.7412327931648"
"sim_42_1","42","1","1.43479046530759","4.7598456539004","63.0502156459467","41.897825770109"
"sim_43_1","43","1","2.66712197661163","3.86905430827565","297.141531207845","1294.12351779367"
"sim_44_1","44","1","0.7135652513326","2.59968897944986","89.1239339881938","57.6339027440686"
"sim_45_1","45","1","2.9596150358863","3.05606759470238","75.7731246717595","33.0757554961542"
"sim_46_1","46","1","0.930110061629056","8.18523205823279","97.4925403963656","30.4819576295918"
"sim_47_1","47","1","2.63296590865892","3.11797132267388","84.1238963312532","64.6527383565063"
"sim_48_1","48","1","0.80876677826147","4.99268172096378","32.7657532060979","6.74404272442676"
"sim_49_1","49","1","2.40110622005364","3.19775390603233","65.0167112295131","58.830986114366"
"sim_50_1","50","1","1.67833528362545","2.09052509998376","152.120889840172","146.714517749928"
"sim_51_1","51","1","2.45530496585664","3.5638088356028","62.6059195915225","59.8590600015859"
"sim_52_1","52","1","2.81689430939673","3.36886473490876","67.0416902363756","53.1126309652759"
"sim_53_1","53","1","3.08525839762094","2.23823608864583","93.2401603351639","98.3419145662385"
"sim_54_1","54","1","2.1072962094154","3.36840516296845","64.6604458837297","68.4767019018524"
"sim_55_1","55","1","2.74109026190586","2.88663283778048","83.2012704814655","91.3613772538003"
"sim_56_1","56","1","0.392998636444881","2.18550841517215","53.6899482938575","63.6384239266091"
"sim_57_1","57","1","2.4157583041156","3.18775995439994","57.0746594021223","66.5493823109184"
"sim_58_1","58","1","1.93574035719577","4.60732031548721","80.5012003665026","67.511059998236"
"sim_59_1","59","1","5.47587666096903","3.37618582553851","56.3870567712709","67.5358750649495"
"sim_60_1","60","1","7.84058280707748","3.41961609518168","50.8100109706795","66.7235305120947"
"sim_61_1","61","1","3.18275150823446","3.79870591087526","105.663532064141","105.075723841198"
"sim_62_1","62","1","3.86404281529045","3.58547460583658","73.3380669668643","85.0130114620228"
"sim_63_1","63","1","2.51296026382717","2.9826614805376","99.5672080392441","120.304236994519"
"sim_64_1","64","1","3.74316335439256","3.55611687696127","80.471750006238","92.7283799256899"
"sim_65_1","65","1","3.71297486050827","3.52472593266406","75.5649319732172","87.7693415278789"
"sim_66_1","66","1","3.18280582275336","4.33716756607327","54.3496784864411","72.2814738613532"
"sim_67_1","67","1","3.71893462162041","3.71839529145656","73.0237576077384","89.6138938294193"
"sim_68_1","68","1","5.58654591889748","4.99700902397199","53.5338132679114","71.5540677428464"
"sim_69_1","69","1","1.00787843057874","2.36083807440534","90.038330411489","129.245080560497"
"sim_70_1","70","1","2.01931176176187","4.58780764984778","81.0962589054292","94.6450915744696"
"sim_71_1","71","1","4.75548244944755","2.47206036201712","62.9827848697205","95.0294715113379"
"sim_72_1","72","1","2.30077258616969","6.14976899848621","60.6417541567994","74.7575920683942"
"sim_73_1","73","1","1.72212974808016","3.31887056000645","60.2833977071057","81.5118043312043"
"sim_74_1","74","1","3.69798821701837","4.9467502252117","81.7203515131712","101.009704950235"
"sim_75_1","75","1","4.55118096434179","4.76237607440439","47.292389061724","78.8679742097113"
"sim_76_1","76","1","6.67087322416215","3.0958915231256","69.4513148506802","102.969559228033"
"sim_77_1","77","1","0.777538693087336","3.9230221384887","91.4384810096044","79.6376136664251"
"sim_78_1","78","1","4.36813377277771","3.00820237677661","53.8157458489411","93.8293059670637"
"sim_79_1","79","1","2.85552085304034","2.68250981581035","94.594257112532","149.864836018959"
"sim_80_1","80","1","5.58180872944862","4.80872273658484","60.6402877065146","90.7479460840447"
"sim_81_1","81","1","8.27948395656631","2.90820273018598","57.0217522696862","102.323396316445"
"sim_82_1","82","1","8.45941808349939","3.85740256279349","44.3771979219806","86.6671959849121"
"sim_83_1","83","1","1.20055798755478","2.90893899837597","60.3596193969174","103.430674726541"
